	Latitude	Longitude	Address	Zip	Price	RoomType	Bathrooms	SQFT	Date
0	42.35855	-71.06478	37 Mount Vernon #4 Boston 02108	2108	4250.0	3	2.0	1425	30/11/2016
1	42.356533	-71.070305	3 Byron St Boston 02108	2108	9500.0	3	3.5	2500	30/11/2016
2	42.3554	-71.06151	3 Winter Pl Boston 02108	2108	8500.0	2	2.5	2250	30/11/2016
3	42.356464	-71.06176	6 Hamilton Pl #509 Boston 02108	2108	7200.0	4	2.0	1325	30/11/2016
4	42.356464	-71.06176	6 Hamilton Pl #302 Boston 02108	2108	3800.0	2	1.0	750	30/11/2016
5	42.356464	-71.06176	6 Hamilton Pl #308 Boston 02108	2108	6000.0	3	2.0	1125	30/11/2016
6	42.356464	-71.06176	6 Hamilton Pl #407 Boston 02108	2108	6000.0	4	2.0	1180	30/11/2016
7	42.303974	-71.07125	130 Bowdoin St #1504 Boston 02108	2108	2250.0	1	1.0	650	30/11/2016
8	42.356464	-71.06176	6 Hamilton Pl #305 Boston 02108	2108	5600.0	3	2.0	1000	30/11/2016
9	42.357235	-71.07218	2 Otis Pl #4 Boston 02108	2108	2795.0	1	1.0	449	30/11/2016
10	42.356564	-71.071106	104 Chestnut St #2 Boston 02108	2108	4000.0	2	1.0	1400	30/11/2016
11	42.35701	-71.071945	49 Brimmer St #4 Boston 02108	2108	1700.0		1.0		30/11/2016
12	42.357727	-71.065384	2 Joy St #5 Boston 02108	2108	1975.0		1.0	500	30/11/2016
13	42.356823	-71.067986	52 Beacon St Boston 02108	2108	6000.0	2	2.5	2000	30/11/2016
14	42.356266	-71.070145	Beacon Hill Boston 02108	2108	5200.0	2	2.0		30/11/2016
15	42.355957	-71.071724	87 Beacon St #1 Boston 02108	2108	7500.0	2	2.0	1500	30/11/2016
16	42.252857	-71.11705	21 Beacon St #5H Boston 02108	2108	3400.0	2	2.0		30/11/2016
17	42.356266	-71.070145	71 Beacon St Boston 02108	2108	5000.0	2	2.0	1240	30/11/2016
18	42.356464	-71.06176	6 Hamilton Pl #408 Boston 02108	2108	5600.0	3	2.0		30/11/2016
19	42.356464	-71.06176	6 Hamilton Pl #304 Boston 02108	2108	6300.0	4	2.0		30/11/2016
20	42.357292	-71.065674	37 Beacon St #43 Boston 02108	2108	3300.0	2	1.0	995	30/11/2016
21	42.35684	-71.07004	82 Chestnut St #21 Boston 02108	2108	2600.0		1.0	413	30/11/2016
22	42.303974	-71.07125	130 Bowdoin St #1306 Boston 02108	2108	2250.0	1	1.0	650	30/11/2016
23	42.357727	-71.065384	2 Joy St #8 Boston 02108	2108	1750.0		1.0	500	30/11/2016
24	42.35807	-71.069046	2 Louisburg Sq #BG Boston 02108	2108	3000.0	2	1.5	1200	30/11/2016
25	42.356266	-71.070145	Beacon Hill Boston 02108	2108	5200.0	2	2.0		30/11/2016
26	42.358536	-71.06259	Beacon Hill Boston 02108	2108	2500.0	1	1.0		30/11/2016
27	42.35851	-71.062584	Beacon Hill Boston 02108	2108	2600.0		1.0		30/11/2016
28	42.358112	-71.06925	Beacon Hill Boston 02108	2108	3200.0	2	2.0	900	30/11/2016
