,index,pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,pixelFence,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky,Latitude,Longitude,Address,Zip,RoomType,Bathrooms,SQFT,SQM,Price,PricePerSQM
0,0.0,0.0,0.0,60.99,2.671,0.0,2.116,6.639,142585895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,32.0,10.0,0.0,6.639,1.739,0.053,51.0,20.0,4.167,0.0,0.0,0.099,0.349,0.0,0.096,0.0,0.0,0.0,0.0,0.0,18.16,42.35855,-71.06478,1597,2108.0,3.0,2.0,1425.0,132.386775,4250.0,32.1029045386
1,1.0,0.0,0.004,34.12,0.217,0.0,4.409,22.56,173725104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,31.0,6.0,145.0,22.56,0.0,0.0,34.0,18.0,1.013,0.0,0.0,0.175,2.47,0.0,0.068,0.078,0.952,0.0,0.0,0.0,27.81,42.356533,-71.070305,1343,2108.0,3.0,3.5,2500.0,232.2575,9500.0,40.9028771945
2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243090896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,35.0,9.0,263.7,0.0,0.0,0.0,53.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3554,-71.06151,1357,2108.0,2.0,2.5,2250.0,209.03175,8500.0,40.6636790822
3,3.0,0.0,0.0,37.65,1.242,0.0,0.694,0.02,216929815.0,0.0,0.0,0.0,0.0,0.0,0.804,0.0,35.0,0.0,34.0,12.0,965.3,0.02,9.99,0.0,56.0,24.0,0.016,0.0,0.0,0.0,9.59,0.0,1.123,0.0,0.0,0.0,0.0,0.0,24.04,42.356464,-71.06176,2146,2108.0,4.0,2.0,1325.0,123.096475,7200.0,58.4907082027
4,4.0,0.0,0.0,37.65,1.242,0.0,0.694,0.02,216929815.0,0.0,0.0,0.0,0.0,0.0,0.804,0.0,35.0,0.0,34.0,12.0,965.3,0.02,9.99,0.0,56.0,24.0,0.016,0.0,0.0,0.0,9.59,0.0,1.123,0.0,0.0,0.0,0.0,0.0,24.04,42.356464,-71.06176,2141,2108.0,2.0,1.0,750.0,69.67725,3800.0,54.5371695927
5,5.0,0.0,0.0,37.65,1.242,0.0,0.694,0.02,216929815.0,0.0,0.0,0.0,0.0,0.0,0.804,0.0,35.0,0.0,34.0,12.0,965.3,0.02,9.99,0.0,56.0,24.0,0.016,0.0,0.0,0.0,9.59,0.0,1.123,0.0,0.0,0.0,0.0,0.0,24.04,42.356464,-71.06176,2144,2108.0,3.0,2.0,1125.0,104.515875,6000.0,57.4075469396
6,6.0,0.0,0.0,37.65,1.242,0.0,0.694,0.02,216929815.0,0.0,0.0,0.0,0.0,0.0,0.804,0.0,35.0,0.0,34.0,12.0,965.3,0.02,9.99,0.0,56.0,24.0,0.016,0.0,0.0,0.0,9.59,0.0,1.123,0.0,0.0,0.0,0.0,0.0,24.04,42.356464,-71.06176,2145,2108.0,4.0,2.0,1180.0,109.62554,6000.0,54.7317714467
7,7.0,0.0,0.0,43.3,3.583,0.0,2.257,4.928,18049700.0,0.0,0.0,0.0,0.0,0.0,0.0,1.742,5.0,0.0,11.0,0.0,212.2,4.928,2.022,0.39,10.0,0.0,2.738,0.0,0.017,0.653,2.387,0.022,0.075,1.17,0.0,0.0,0.0,0.0,10.64,42.303974,-71.07125,418,2108.0,1.0,1.0,650.0,60.38695,2250.0,37.2597059464
8,8.0,0.0,0.0,37.65,1.242,0.0,0.694,0.02,216929815.0,0.0,0.0,0.0,0.0,0.0,0.804,0.0,35.0,0.0,34.0,12.0,965.3,0.02,9.99,0.0,56.0,24.0,0.016,0.0,0.0,0.0,9.59,0.0,1.123,0.0,0.0,0.0,0.0,0.0,24.04,42.356464,-71.06176,2143,2108.0,3.0,2.0,1000.0,92.903,5600.0,60.2779242866
9,9.0,0.0,0.018,23.85,7.066,0.0,1.619,0.236,120456350.0,0.0,0.0,0.0,0.0,0.0,0.224,0.0,3.0,0.0,21.0,3.0,0.0,0.236,5.788,0.27,35.0,5.0,2.553,0.0,0.0,0.0,2.429,0.0,0.248,0.707,0.15,0.0,0.0,0.0,13.28,42.357235,-71.07218,895,2108.0,1.0,1.0,449.0,41.713447,2795.0,67.0047718665
10,10.0,0.0,0.018,23.85,7.066,0.0,1.619,0.236,120456350.0,0.0,0.0,0.0,0.0,0.0,0.224,0.0,3.0,0.0,21.0,3.0,0.0,0.236,5.788,0.27,35.0,5.0,2.553,0.0,0.0,0.0,2.429,0.0,0.248,0.707,0.15,0.0,0.0,0.0,13.28,42.356564,-71.071106,206,2108.0,2.0,1.0,1400.0,130.0642,4000.0,30.7540430034
11,13.0,0.0,0.005,11.29,5.07,0.0,0.0,0.298,84790141.0,0.0,0.0,0.0,0.661,0.0,0.09,0.0,0.0,0.0,33.0,8.0,0.0,0.298,17.96,0.0,43.0,20.0,0.093,0.0,0.0,0.0,2.768,0.0,0.201,0.0,0.44,0.0,0.0,0.0,49.75,42.356823,-71.067986,2008,2108.0,2.0,2.5,2000.0,185.806,6000.0,32.2917451535
12,15.0,0.0,0.018,23.85,7.066,0.0,1.619,0.236,120456350.0,0.0,0.0,0.0,0.0,0.0,0.224,0.0,3.0,0.0,21.0,3.0,0.0,0.236,5.788,0.27,35.0,5.0,2.553,0.0,0.0,0.0,2.429,0.0,0.248,0.707,0.15,0.0,0.0,0.0,13.28,42.355957,-71.071724,2569,2108.0,2.0,2.0,1500.0,139.3545,7500.0,53.8195752559
13,17.0,0.0,0.004,34.12,0.217,0.0,4.409,22.56,173725104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,31.0,6.0,145.0,22.56,0.0,0.0,34.0,18.0,1.013,0.0,0.0,0.175,2.47,0.0,0.068,0.078,0.952,0.0,0.0,0.0,27.81,42.356266,-71.070145,2334,2108.0,2.0,2.0,1240.0,115.19972,5000.0,43.4028832709
14,20.0,0.0,0.366,0.9,0.988,0.0,0.0,0.028,13676500.0,0.0,0.0,0.0,0.0,0.0,0.543,0.0,0.0,0.0,36.0,11.0,197.0,0.028,14.75,0.0,51.0,22.0,0.701,0.0,0.0,0.075,0.593,0.0,0.081,0.0,0.057,0.0,0.0,0.0,67.45,42.357292,-71.065674,1587,2108.0,2.0,1.0,995.0,92.438485,3300.0,35.6994167527
15,22.0,0.0,0.0,43.3,3.583,0.0,2.257,4.928,18049700.0,0.0,0.0,0.0,0.0,0.0,0.0,1.742,5.0,0.0,11.0,0.0,212.2,4.928,2.022,0.39,10.0,0.0,2.738,0.0,0.017,0.653,2.387,0.022,0.075,1.17,0.0,0.0,0.0,0.0,10.64,42.303974,-71.07125,417,2108.0,1.0,1.0,650.0,60.38695,2250.0,37.2597059464
16,24.0,0.0,0.035,50.87,1.745,0.0,0.514,2.51,258957439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,22.0,6.0,0.0,2.51,4.223,0.0,38.0,14.0,2.564,0.0,0.0,0.116,1.925,0.0,0.04,1.297,0.0,0.0,0.0,0.0,23.75,42.35807,-71.069046,891,2108.0,2.0,1.5,1200.0,111.4836,3000.0,26.909787628
