,building,walkMbta,numCraigslistHouse,walkUniversity,house,numCraigslistRoom,sky,lake,crime,person,walkSchool,car,walkPark,grass,sidewalk,road
0,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
1,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
2,0,9,0,24,0,0,0,0,19,0,35,0,53,0,0,0
3,0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242
4,0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242
5,0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242
6,0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242
7,1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583
8,0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242
9,0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066
10,0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066
11,0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066
12,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
13,0,8,0,20,2.768,0,49.75,11.29,0,0.298,33,0.298,43,0,0.093,5.07
14,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
15,0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066
16,0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0
17,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
18,0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242
19,0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242
20,0,11,0,22,0.593,0,67.45,0.9,0,0.028,36,0.028,51,0,0.701,0.988
21,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
22,1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583
23,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
24,0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745
25,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
26,0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886
27,0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886
28,0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745
29,0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0
30,0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745
31,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
32,0,10,0,19,3.799,3,27.67,47.61,11,11.12,29,11.12,41,0,4.051,1.75
33,0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242
34,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
35,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
36,0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066
37,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
38,0,8,0,20,2.768,0,49.75,11.29,0,0.298,33,0.298,43,0,0.093,5.07
39,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
40,0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0
41,0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745
42,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
43,0,11,1,23,4.369,2,6.687,65.1,21,2.322,29,2.322,46,0,2.552,5.703
44,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
45,0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242
46,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
47,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
48,0,10,0,19,3.799,3,27.67,47.61,11,11.12,29,11.12,41,0,4.051,1.75
49,0,8,0,20,2.768,0,49.75,11.29,0,0.298,33,0.298,43,0,0.093,5.07
50,0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0
51,0,11,0,22,1.331,0,0,89.47,30,0,32,0,46,0,1.04,3.715
52,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
53,0,8,0,20,2.768,0,49.75,11.29,0,0.298,33,0.298,43,0,0.093,5.07
54,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
55,0,9,0,24,0,0,0,0,19,0,35,0,53,0,0,0
56,1.626,2,1,0,2.501,0,39.45,15.27,11,10.08,10,10.08,14,0,1.019,6.221
57,0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0
58,0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745
59,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
60,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
61,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
62,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
63,0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0
64,0,10,0,19,3.799,3,27.67,47.61,11,11.12,29,11.12,41,0,4.051,1.75
65,0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066
66,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
67,1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583
68,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
69,0,11,0,22,0.593,0,67.45,0.9,0,0.028,36,0.028,51,0,0.701,0.988
70,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
71,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
72,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
73,0,10,0,19,3.799,3,27.67,47.61,11,11.12,29,11.12,41,0,4.051,1.75
74,0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886
75,0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886
76,0,11,1,23,4.369,2,6.687,65.1,21,2.322,29,2.322,46,0,2.552,5.703
77,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
78,0,11,0,22,1.331,0,0,89.47,30,0,32,0,46,0,1.04,3.715
79,0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217
80,0,10,0,19,3.799,3,27.67,47.61,11,11.12,29,11.12,41,0,4.051,1.75
81,0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745
82,1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583
83,1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583
84,0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886
85,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
86,0,11,1,23,4.369,2,6.687,65.1,21,2.322,29,2.322,46,0,2.552,5.703
87,0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745
88,0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0
89,0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066
90,0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242
91,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
92,0,11,0,22,1.331,0,0,89.47,30,0,32,0,46,0,1.04,3.715
93,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
94,0,0,0,0,3.797,0,28.66,21.7,6,7.972,12,7.972,17,0,3.109,7.778
95,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
96,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
97,0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886
98,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
99,0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066
100,0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671
101,0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886
102,0,8,0,20,2.768,0,49.75,11.29,0,0.298,33,0.298,43,0,0.093,5.07
103,1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583
104,1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583
