,Unnamed: 0,Site_EUI,pos,Tax_Parcel,Years_Repo,Site_Energ,Gross_Sq_F,GHG_Emissi,ZIP,ShapeSTLen,EnergyStar,Pct_Gas,Reported,Pct_Electr,Address,GHG_Intens,Year_Built,Property_T,Water_Inte
0,0,86.0," -71.0583413926925,42.35855145",302870000,"2014, 2015, 2016",72566952.6,844203.0,5957.3,2108,710.571941,83,0.000319,Yes,0.517348,One Boston Place,7.1,1970,Office,8.948085
1,1,82.5," -71.0467082,42.3543649",602671010,"2014, 2015, 2016",75537346.4,915346.0,6169.0,2109,1774.293843,58,0.345554,Yes,0.654445,1 COURTHOUSE WAY,6.7,1998,Courthouse,12.039491
2,2,60.8," -71.0541072,42.3541385",602678701,"2014, 2015, 2016",31955665.1,525642.0,3054.0,2210,893.586405,97,0.025971,Yes,0.972194,601 Congress Street,-0.573584,2004,Financial Office,11.895549
3,3,95.7," -71.0741246,42.348456",401134000,"2014, 2015, 2016",215787140.8,2254776.5,17824.5,2116,956.548299,75,0.0,Yes,0.533954,200 Clarendon Street,7.9,1976,Office,12.681922
4,4,43.7," -71.0726813636364,42.3502073636364",401115000,"2014, 2015, 2016",71006892.6,1624928.0,6868.5,2116,1567.425209,94,0.0,Yes,0.999523,200 Berkeley St &&,4.2,1922,Financial Office,8585.714752
5,5,79.7," -71.063411,42.375932",304390000,"2014, 2015, 2016",58310014.5,731205.0,4533.7,2110,623.888965,88,0.435341,Yes,0.564659,99 High Street,6.2,1969,Office,13.123953
6,6,62.2," -71.0538039,42.3567772",304023000,"2014, 2015, 2016",23169630.4,372562.0,2241.5,2110,518.353072,83,0.0,Yes,1.0,260 Franklin Street,6.0,1984,Office,14.102619
7,7,0.0," -71.0595677,42.3604823", ,"2014, 2015",0.0,0.0,0.0,2119,600.553382, ,0.0,No,0.0, ,0.0, , ,0.0
8,8,0.0," -71.0595677,42.3604823", ,2015,0.0,0.0,0.0,2111,521.246702, ,0.0,No,0.0, ,0.0, , ,0.0
9,9,0.0," -71.0515721454546,42.3545770181818",302959000,"2014, 2015, 2016",0.0,176013.0,0.0,2210,545.45377, ,0.0,Yes,0.0,408 ATLANTIC AV,0.0,1918,Office,5.446757
10,10,64.3," -71.0553778712356,42.3586608",303860000,"2014, 2015, 2016",52328094.2,813261.3,5062.5,2109,1024.058805,89,0.0,Yes,1.0,75 State Street,6.2,1987,Mixed Use Property,12.299122
11,11,41.5," -71.0568667244972,42.3571774",303881000,"2014, 2015, 2016",32259059.1,776861.0,2705.3,2109,923.394554,96,0.0,Yes,0.575462,5 POST OFFICE SQ,3.5,1933,Office,4.628499
12,12,0.0," -71.063398,42.364341",301920000,"2014, 2015, 2016",0.0,773445.0,0.0,2222,1308.499139, ,0.0,Yes,0.0,10 CAUSEWAY STREET,0.0,1986,Office,5.94147
