longitude,latitude,bathrooms,last_sold_price,zestimate_amount,prices,property_size,zip,zestimate_valuation_range_high,long,tax_year,zestimate_value_change,status,zestimate_percentile,bedrooms,zestimate_last_updated,zillow_id,address,lat,last_sold_date,tax_value,zillow,year_built,zestimate_valuationRange_low,graph_data_link,home_size,home_detail_link,home_type,property,map_this_home_link
-71.05343,42.33145,2,,766387,"849,000",,2127,804706,-71.054051,,,Condo For Sale,0,4,11/12/2016,2096497652,"321 Dorchester St # 1, Boston, MA",42.331281,,,0,,728068,,1400,http://www.zillow.com/homedetails/321-Dorchester-St-1-Boston-MA-02127/2096497652_zpid/,Condominium,0,http://www.zillow.com/homes/2096497652_zpid/
-71.049545,42.312059,2,197000,769717,"899,000",6534,2125,877477,-71.049533,2015,-25499,House For Sale,0,5,11/12/2016,59113320,"54 Grampian Way, Dorchester, MA",42.312072,12/11/1998,499300,0,1885,692745,http://www.zillow.com/homedetails/54-Grampian-Way-Dorchester-MA-02125/59113320_zpid/#charts-and-data,2423,http://www.zillow.com/homedetails/54-Grampian-Way-Dorchester-MA-02125/59113320_zpid/,SingleFamily,0,http://www.zillow.com/homes/59113320_zpid/
-71.171084,42.277522,3,,858867,"849,000",6969,2132,1039229,-71.171084,,,House For Sale,0,4,11/12/2016,2096677074,"129 Gardner St, Boston, MA",42.277522,,,0,2016,695682,,2800,http://www.zillow.com/homedetails/129-Gardner-St-Boston-MA-02132/2096677074_zpid/,SingleFamily,0,http://www.zillow.com/homes/2096677074_zpid/
-71.116361,42.292142,2,,595133,"529,000",9999,2130,761770,-71.1162116,,,Condo For Sale,0,3,11/12/2016,2096675064,"7-9 Herbertson # 2, Jamaica Plain, MA",42.2920089,,,0,1925,458252,,1260,http://www.zillow.com/homedetails/7-9-Herbertson-2-Jamaica-Plain-MA-02130/2096675064_zpid/,Condominium,0,http://www.zillow.com/homes/2096675064_zpid/
-71.154418,42.287908,2,,715295,"739,900",4356,2132,765366,-71.1544114,2014,1927,House For Sale,0,3,11/12/2016,59155302,"31 Maple St, Boston, MA",42.287886,,448800,0,1900,665224,http://www.zillow.com/homedetails/31-Maple-St-Boston-MA-02132/59155302_zpid/#charts-and-data,1847,http://www.zillow.com/homedetails/31-Maple-St-Boston-MA-02132/59155302_zpid/,SingleFamily,0,http://www.zillow.com/homes/59155302_zpid/
-71.081382,42.339385,1,475000,782221,"675,000",1057,2118,821332,-71.0814012,2014,-38684,Condo For Sale,0,2,11/12/2016,87796106,"255 Northampton St UNIT 501, Boston, MA",42.3394238,09/03/2010,509100,0,2006,743110,http://www.zillow.com/homedetails/255-Northampton-St-UNIT-501-Boston-MA-02118/87796106_zpid/#charts-and-data,1057,http://www.zillow.com/homedetails/255-Northampton-St-UNIT-501-Boston-MA-02118/87796106_zpid/,Condominium,0,http://www.zillow.com/homes/87796106_zpid/
-71.133272,42.351999,1,197000,343185,"339,900",578,2134,360344,-71.1329925,2014,,Condo For Sale,0,1,11/12/2016,59088144,"43 Parkvale Ave APT 5, Boston, MA",42.3523208,08/31/2006,183100,0,1910,326026,http://www.zillow.com/homedetails/43-Parkvale-Ave-APT-5-Boston-MA-02134/59088144_zpid/#charts-and-data,578,http://www.zillow.com/homedetails/43-Parkvale-Ave-APT-5-Boston-MA-02134/59088144_zpid/,Condominium,0,http://www.zillow.com/homes/59088144_zpid/
-71.073818,42.287284,1,,386209,"339,000",,2124,544555,-71.073962,,,Condo For Sale,0,2,11/12/2016,2096823174,"53 Torrey St # 2, Boston, MA",42.287372,,,0,1920,254898,,1000,http://www.zillow.com/homedetails/53-Torrey-St-2-Boston-MA-02124/2096823174_zpid/,Condominium,0,http://www.zillow.com/homes/2096823174_zpid/
-71.052066,42.295265,2,,471644,"479,000",,2122,499943,-71.0522682,,,Condo For Sale,0,3,11/12/2016,2096881020,"31 Houghton St # 2, Boston, MA",42.2952453,,,0,1900,438629,,1400,http://www.zillow.com/homedetails/31-Houghton-St-2-Boston-MA-02122/2096881020_zpid/,Condominium,0,http://www.zillow.com/homes/2096881020_zpid/
-71.089552,42.287927,2,192079,280016,"284,999",2613,2124,305217,-71.089551,2014,4024,House For Sale,0,3,11/12/2016,59102139,"10 Arbutus St, Dorchester Center, MA",42.2879239,09/19/2005,156300,0,1991,252014,http://www.zillow.com/homedetails/10-Arbutus-St-Dorchester-Center-MA-02124/59102139_zpid/#charts-and-data,1520,http://www.zillow.com/homedetails/10-Arbutus-St-Dorchester-Center-MA-02124/59102139_zpid/,SingleFamily,0,http://www.zillow.com/homes/59102139_zpid/
