,building,walkMbta,numCraigslistHouse,walkUniversity,house,numCraigslistRoom,sky,lake,crime,person,walkSchool,car,walkPark,grass,sidewalk,road
0,0,1,0,0,3.597,0,10.78,41.95,3,1.177,8,1.177,11,0,4.03,7.542
1,3.141,2,0,2,1.167,0,19.53,40.6,0,9.659,9,9.659,6,0,1.413,1.57
2,3.247,0,0,0,1.864,0,46.53,12.48,0,2.555,5,2.555,8,0,0.974,3.14
3,0,2,0,1,0,0,0,0,0,0,6,0,11,0,0,0
4,0.167,0,0,0,1.698,0,57.23,13.33,0,8.027,3,8.027,12,0,1.942,2.205
5,0,3,0,81,4.245,0,12.06,48.58,6,0.979,31,0.979,17,0,5.979,10.96
6,0,0,0,0,0,0,0,0,4,0,8,0,15,0,0,0
7,0,0,0,4,1.648,0,21.34,29.69,2,4.437,16,4.437,6,0,6.726,4.235
8,0,0,0,0,0.477,0,0.704,15.24,0,0.44,5,0.44,10,0,0,0.086
9,0.356,0,0,0,0.858,0,9.759,51.39,7,6.958,7,6.958,4,0,3.291,2.535
10,0,0,0,0,0,0,0,0,5,0,10,0,12,0,0,0
11,0,0,0,4,1.648,0,21.34,29.69,2,4.437,16,4.437,6,0,6.726,4.235
12,0.139,2,0,1,0,0,28.22,2.475,1,1.106,14,1.106,11,1.349,0,0.074
13,0,0,0,0,0,0,0,0,1,0,2,0,17,0,0,0
14,0,0,0,0,0,0,0,0,1,0,3,0,12,0,0,0
15,0,3,0,0,0,11,0,0,3,0,11,0,12,0,0,0
16,0,3,0,36,0.626,0,22.75,47.98,3,0.152,39,0.152,23,0,16.58,4.042
17,5.281,1,0,0,2.774,0,16.68,32.83,2,4.447,4,4.447,6,0,3.358,4.054
18,0,0,0,0,0,0,0,0,1,0,10,0,48,0,0,0
19,0,11,0,22,1.331,0,0,89.47,30,0,32,0,46,0,1.04,3.715
20,1.116,1,0,0,2.011,0,3.314,62.09,6,3.715,7,3.715,15,0,1.263,3.816
21,0,1,1,0,1.886,0,3.031,55.92,1,0.175,6,0.175,15,0,1.21,8.555
22,0,0,0,4,0,0,0,0,2,0,11,0,12,0,0,0
23,0,0,0,0,0,0,0,0.183,0,0,3,0,5,0,0,0
24,0,0,0,4,0,1,0,0.183,4,0,9,0,14,0,0,0
25,2.904,3,0,1,3.806,0,15.87,43.54,2,2.297,9,2.297,14,0,5.507,5.434
26,1.129,0,0,0,3.3,0,45.49,17.74,0,5.515,9,5.515,9,0,2.703,7.538
27,0,0,0,74,0,0,0,0,6,0,52,0,20,0,0,0
28,0.168,2,0,0,1.772,0,12.48,70.23,6,0.218,13,0.218,7,0,1.916,4.077
29,0.168,2,0,0,1.772,0,12.48,70.23,6,0.218,13,0.218,7,0,1.916,4.077
30,0,1,0,0,0.908,0,0.091,66.22,9,0.239,8,0.239,5,0,0.262,1.271
31,0,10,0,22,0,0,0,0,10,0,30,0,46,0,0,0
32,0,1,0,0,0.908,0,0.091,66.22,9,0.239,8,0.239,5,0,0.262,1.271
33,0,2,0,0,0,0,0,0.183,5,0,13,0,7,0,0,0
34,0,0,0,0,0,0,0,0,3,0,5,0,10,0,0,0
35,0,0,0,0,0.013,0,2.129,2.447,1,0.023,11,0.023,17,0,0.765,0.099
36,1.645,2,0,0,0.288,2,14.18,64.47,7,0.223,14,0.223,9,0,4.977,2.905
37,0,1,0,1,0.457,0,5.967,0.321,4,0.614,14,0.614,14,0,0.527,4.04
38,0,2,0,3,2.622,0,18.76,61.21,24,1.62,21,1.62,27,0,6.874,2.199
39,0,1,0,0,0.908,0,0.091,66.22,9,0.239,8,0.239,5,0,0.262,1.271
40,0.121,0,0,0,1.758,0,6.394,42,4,1.841,9,1.841,16,0,3.292,2.84
41,5.204,0,0,1,4.386,0,21.54,51.78,4,3.405,8,3.405,6,0,0.302,1.808
42,0,9,0,24,0,0,0,0,19,0,35,0,53,0,0,0
43,0,11,0,22,1.331,0,0,89.47,30,0,32,0,46,0,1.04,3.715
44,0,6,1,10,0,0,0,3.164,3,0,18,0,34,0,0.788,3.643
45,0.245,0,0,1,7.338,1,22.37,16.47,5,2.562,10,2.562,14,0,1.438,8.564
46,4.616,0,0,1,3.286,0,20.67,37.7,1,10.95,4,10.95,9,0,1.691,3.171
47,0,2,0,0,0,0,0,0,4,0,9,0,7,0,0,0
48,4.616,0,0,1,3.286,0,20.67,37.7,1,10.95,4,10.95,9,0,1.691,3.171
49,0,1,0,2,0,0,0,0,3,0,16,0,14,0,0,0
50,0.146,0,0,1,2.343,2,7.126,66.59,1,1.137,15,1.137,14,0,1.901,3.338
51,0,6,1,12,3.117,0,14.72,56.99,7,0.093,19,0.093,36,0,1.966,6.496
52,1.867,0,3,2,4.399,0,27.78,30.99,2,4.453,11,4.453,7,0,3.028,4.436
53,3.39,2,0,4,2.499,0,35.87,21.18,6,10.09,9,10.09,6,0,2.31,3.329
54,0.627,7,0,9,5.799,0,26.55,37.81,0,9.52,14,9.52,24,0,1.973,3.593
55,0.627,7,0,9,5.799,0,26.55,37.81,0,9.52,14,9.52,24,0,1.973,3.593
56,0.627,7,0,9,5.799,0,26.55,37.81,0,9.52,14,9.52,24,0,1.973,3.593
57,0.627,7,0,9,5.799,0,26.55,37.81,0,9.52,14,9.52,24,0,1.973,3.593
58,6.301,1,0,0,3.554,1,15.43,24.93,10,2.899,6,2.899,5,0,7.495,5.143
59,0.627,7,0,9,5.799,0,26.55,37.81,0,9.52,14,9.52,24,0,1.973,3.593
60,0.627,7,0,9,5.799,0,26.55,37.81,0,9.52,14,9.52,24,0,1.973,3.593
61,0,1,0,0,3.597,0,10.78,41.95,3,1.177,8,1.177,11,0,4.03,7.542
62,0,0,0,0,0,0,0,0,1,0,5,0,10,0,0,0
63,0,2,0,2,0.178,0,17.79,11.6,5,0.722,12,0.722,9,0,4.88,10.38
64,0,9,0,24,0,0,0,0,19,0,35,0,53,0,0,0
65,0.121,0,0,0,1.758,0,6.394,42,4,1.841,9,1.841,16,0,3.292,2.84
66,0.266,2,0,55,1.151,0,11.42,51.98,8,3.523,14,3.523,20,0,6.07,4.213
