,pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,pixelFence,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky
0,0,0.017,41.95,7.542,0,0.92,1.177,47174046,0,0,0,0,0,0,0,3,0,8,1,0,1.177,0.036,0.229,11,0,4.03,0,0.05,0,3.597,0.125,0.106,0,0,0,0,0,10.78
1,0,0.597,40.6,1.57,0,0.025,9.659,12937000,0,0,0,0,0,0,3.141,0,0,9,2,0,9.659,8.465,0,6,2,1.413,0,0,0.099,1.167,0,0.193,0,0,0,0,0,19.53
2,0,0.127,12.48,3.14,0,0.427,2.555,4294268,0,0,0.004,0,0,0,3.247,0,0,5,0,0,2.555,4.174,0,8,0,0.974,0,0,0.853,1.864,0,0.363,0,0,0,0,0,46.53
3,0,0,0,0,0,0,0,15601537,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0.055,13.33,2.205,0,0.049,8.027,17314700,0,0,0.21,0,0,0.133,0.167,0,0,3,0,0,8.027,4.158,0,12,0,1.942,0,0.006,4.418,1.698,0,0.219,0,0,0,0,0,57.23
5,0,0.024,48.58,10.96,0,0.001,0.979,46937627,0,0,0,0,0,0,0,6,0,31,3,212.9,0.979,0.58,0.888,17,81,5.979,0,0,0,4.245,0,0.325,0,0,0,0,0,12.06
6,0,0,0,0,0,0,0,22309790,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0.007,29.69,4.235,0,0.227,4.437,9218020,0,0,0,0,0,0.033,0,2,0,16,0,0,4.437,7.556,0,6,4,6.726,0,0,0,1.648,0,0.203,0.011,0,0,0,0,21.34
8,0,0,15.24,0.086,0,0.001,0.44,10421920,0,0,0,0,0,0.033,0,0,0,5,0,0,0.44,0.162,0,10,0,0,0,0,0,0.477,0,0.161,0,0,0,0,0,0.704
9,0,0,51.39,2.535,0,0.044,6.958,12327400,0,0,0,0,0,0.029,0.356,7,0,7,0,524.6,6.958,1.834,0,4,0,3.291,0,0,0.012,0.858,0,0.167,0.174,0,0,0,0,9.759
10,0,0,0,0,0,0,0,18681300,0,0,0,0,0,0,0,5,0,10,0,51.5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0.007,29.69,4.235,0,0.227,4.437,9218020,0,0,0,0,0,0.033,0,2,0,16,0,0,4.437,7.556,0,6,4,6.726,0,0,0,1.648,0,0.203,0.011,0,0,0,0,21.34
12,0,0.771,2.475,0.074,1.349,0,1.106,17565100,0.01,0,10.42,0,0,1.357,0.139,1,0,14,2,0,1.106,9.517,0,11,1,0,0,0,0.731,0,0,0.048,0,0,0,0,0,28.22
13,0,0,0,0,0,0,0,11035500,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,13944200,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,20981860,0,0,0,0,0,0,0,3,0,11,3,107.3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,11,0
16,0,0,47.98,4.042,0,0,0.152,42758607,0,0,0,0,0,0,0,3,0,39,3,268,0.152,0,0.158,23,36,16.58,0,0,0,0.626,0,0.088,0,0,0,0,0,22.75
17,0,0.314,32.83,4.054,0,1.582,4.447,18406000,0,0,0,0,0,0,5.281,2,0,4,1,0,4.447,1.547,0,6,0,3.358,0,0.058,0.074,2.774,0,0.161,0.076,0,0,0,0,16.68
18,0,0,0,0,0,0,0,22655304,0,0,0,0,0,0,0,1,0,10,0,82.2,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,89.47,3.715,0,0.743,0,269677724,0,0,0,0,0,0,0,30,0,32,11,532.1,0,0,0.085,46,22,1.04,0,0,0,1.331,0,0.327,0,0,0,0,0,0
20,0,0.032,62.09,3.816,0,0.038,3.715,12743204,0,0,0,0,0,0,1.116,6,0,7,1,0,3.715,1.048,0,15,0,1.263,0,0.018,0,2.011,0,0.095,0.055,0,0,0,0,3.314
21,0,0.04,55.92,8.555,0,0.282,0.175,14893757,0,1,0,0.008,0,0,0,1,0,6,1,54.6,0.175,1.899,0,15,0,1.21,0,0,0,1.886,0,0.098,0,0,0.279,0,0,3.031
22,0,0,0,0,0,0,0,17118500,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0.183,0,0,0.001,0,24592900,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
24,0,0,0.183,0,0,0.001,0,27637885,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,14,4,0,0,0,0,0,0,0.2,0,0,0,0,1,0
25,0,0.071,43.54,5.434,0,1.434,2.297,22357799,0,0,0,0,0,0,2.904,2,0,9,3,119.9,2.297,0.01,0.12,14,1,5.507,0,0,0,3.806,0,0.186,0,0,0,0,0,15.87
26,0,0.016,17.74,7.538,0,2.908,5.515,11287700,0,0,0.01,0,0,0.179,1.129,0,0,9,0,0,5.515,3.318,0,9,0,2.703,0,0.383,0.16,3.3,0,0.134,0,0,0,0,0,45.49
27,0,0,0,0,0,0,0,25060825,0,0,0,0,0,0,0,6,0,52,0,1081.3,0,0,0,20,74,0,0,0,0,0,0,0,0,0,0,0,0,0
