	bathrooms	last_sold_price	zestimate_amount	prices	property_size	zip	zestimate_valuation_range_high	long	tax_year	zestimate_value_change	latitude	status	zestimate_percentile	bedrooms	zestimate_last_updated	zillow_id	address	lat	last_sold_date	tax_value	zillow	year_built	zestimate_valuationRange_low	graph_data_link	home_size	longitude	home_detail_link	home_type	property	map_this_home_link
0	2.0		766387	849,000		02127	804706	-71.054051			42.33145	Condo For Sale	0	4	11/12/2016	2096497652	321 Dorchester St # 1, Boston, MA	42.331281			0.0		728068		1400	-71.05343	http://www.zillow.com/homedetails/321-Dorchester-St-1-Boston-MA-02127/2096497652_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096497652_zpid/
1	2.0	197000	769717	899,000	6534	02125	877477	-71.049533	2015	-25499	42.312059	House For Sale	0	5	11/12/2016	59113320	54 Grampian Way, Dorchester, MA	42.312072	12/11/1998	499300.0	0.0	1885	692745	http://www.zillow.com/homedetails/54-Grampian-Way-Dorchester-MA-02125/59113320_zpid/#charts-and-data	2423	-71.049545	http://www.zillow.com/homedetails/54-Grampian-Way-Dorchester-MA-02125/59113320_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59113320_zpid/
2	3.0		858867	849,000	6969	02132	1039229	-71.171084			42.277522	House For Sale	0	4	11/12/2016	2096677074	129 Gardner St, Boston, MA	42.277522			0.0	2016	695682		2800	-71.171084	http://www.zillow.com/homedetails/129-Gardner-St-Boston-MA-02132/2096677074_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/2096677074_zpid/
3	2.0		595133	529,000	9999	02130	761770	-71.1162116			42.292142	Condo For Sale	0	3	11/12/2016	2096675064	7-9 Herbertson # 2, Jamaica Plain, MA	42.2920089			0.0	1925	458252		1260	-71.116361	http://www.zillow.com/homedetails/7-9-Herbertson-2-Jamaica-Plain-MA-02130/2096675064_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096675064_zpid/
4	2.0		715295	739,900	4356	02132	765366	-71.1544114	2014	1927	42.287908	House For Sale	0	3	11/12/2016	59155302	31 Maple St, Boston, MA	42.287886		448800.0	0.0	1900	665224	http://www.zillow.com/homedetails/31-Maple-St-Boston-MA-02132/59155302_zpid/#charts-and-data	1847	-71.154418	http://www.zillow.com/homedetails/31-Maple-St-Boston-MA-02132/59155302_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59155302_zpid/
5	1.0	475000	782221	675,000	1057	02118	821332	-71.0814012	2014	-38684	42.339385	Condo For Sale	0	2	11/12/2016	87796106	255 Northampton St UNIT 501, Boston, MA	42.3394238	09/03/2010	509100.0	0.0	2006	743110	http://www.zillow.com/homedetails/255-Northampton-St-UNIT-501-Boston-MA-02118/87796106_zpid/#charts-and-data	1057	-71.081382	http://www.zillow.com/homedetails/255-Northampton-St-UNIT-501-Boston-MA-02118/87796106_zpid/	Condominium	0.0	http://www.zillow.com/homes/87796106_zpid/
6	1.0	197000	343185	339,900	578	02134	360344	-71.1329925	2014		42.351999	Condo For Sale	0	1	11/12/2016	59088144	43 Parkvale Ave APT 5, Boston, MA	42.3523208	08/31/2006	183100.0	0.0	1910	326026	http://www.zillow.com/homedetails/43-Parkvale-Ave-APT-5-Boston-MA-02134/59088144_zpid/#charts-and-data	578	-71.133272	http://www.zillow.com/homedetails/43-Parkvale-Ave-APT-5-Boston-MA-02134/59088144_zpid/	Condominium	0.0	http://www.zillow.com/homes/59088144_zpid/
7	1.0		386209	339,000		02124	544555	-71.073962			42.287284	Condo For Sale	0	2	11/12/2016	2096823174	53 Torrey St # 2, Boston, MA	42.287372			0.0	1920	254898		1000	-71.073818	http://www.zillow.com/homedetails/53-Torrey-St-2-Boston-MA-02124/2096823174_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096823174_zpid/
8	2.0		471644	479,000		02122	499943	-71.0522682			42.295265	Condo For Sale	0	3	11/12/2016	2096881020	31 Houghton St # 2, Boston, MA	42.2952453			0.0	1900	438629		1400	-71.052066	http://www.zillow.com/homedetails/31-Houghton-St-2-Boston-MA-02122/2096881020_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096881020_zpid/
9	2.0	192079	280016	284,999	2613	02124	305217	-71.089551	2014	4024	42.287927	House For Sale	0	3	11/12/2016	59102139	10 Arbutus St, Dorchester Center, MA	42.2879239	09/19/2005	156300.0	0.0	1991	252014	http://www.zillow.com/homedetails/10-Arbutus-St-Dorchester-Center-MA-02124/59102139_zpid/#charts-and-data	1520	-71.089552	http://www.zillow.com/homedetails/10-Arbutus-St-Dorchester-Center-MA-02124/59102139_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59102139_zpid/
10	1.0		443293	399,000	5662	02121	469891	-71.080952	2015	1434	42.296947	House For Sale	0	5	11/12/2016	59112097	181 Glenway St, Dorchester, MA	42.296947		242000.0	0.0	1890	407830	http://www.zillow.com/homedetails/181-Glenway-St-Dorchester-MA-02121/59112097_zpid/#charts-and-data	2684	-71.080952	http://www.zillow.com/homedetails/181-Glenway-St-Dorchester-MA-02121/59112097_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/59112097_zpid/
11	1.0		386209	345,000		02124	544555	-71.073962			42.287282	Condo For Sale	0	2	11/12/2016	2096896512	53 Torrey St # 3, Boston, MA	42.287372			0.0	1920	254898		1000	-71.073797	http://www.zillow.com/homedetails/53-Torrey-St-3-Boston-MA-02124/2096896512_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096896512_zpid/
12	3.0	1325000	2826169	2,495,000	2267	02116	2995739	-71.0795012	2014	-16709	42.353794	Condo For Sale	0	3	11/12/2016	59170501	242 Beacon St APT 6, Boston, MA	42.3536559	09/09/2009	1783000.0	0.0	1884	2628337	http://www.zillow.com/homedetails/242-Beacon-St-APT-6-Boston-MA-02116/59170501_zpid/#charts-and-data	2267	-71.079593	http://www.zillow.com/homedetails/242-Beacon-St-APT-6-Boston-MA-02116/59170501_zpid/	Condominium	0.0	http://www.zillow.com/homes/59170501_zpid/
13	2.0		427574	399,900		02132	448953	-71.1587218			42.256671	Condo For Sale	0	3	11/12/2016	2096807696	23 Goethe St # 2, Boston, MA	42.2565786			0.0	1940	401920		1370	-71.158866	http://www.zillow.com/homedetails/23-Goethe-St-2-Boston-MA-02132/2096807696_zpid/	Condominium	0.0	http://www.zillow.com/homes/2096807696_zpid/
14		3360981	695455	599,000	7157	02121	785864	-71.086611	2015	-9334	42.289875	House For Sale	0		11/12/2016	90139732	100 Maple St, Boston, MA	42.3075847	02/19/1992	426577.0	0.0	1925	598091	http://www.zillow.com/homedetails/100-Maple-St-106-Dorchester-MA-02121/90139732_zpid/#charts-and-data	16857	-71.156478	http://www.zillow.com/homedetails/100-Maple-St-106-Dorchester-MA-02121/90139732_zpid/	SingleFamily	0.0	http://www.zillow.com/homes/90139732_zpid/
15	2.0		817363	669,000	1916	02130	858231	-71.1166613			42.30924	Condo For Sale	0	3	11/12/2016	2097055956	801 Centre St # 3C, Boston, MA	42.3092487			0.0	1899	776495		1916	-71.1166	http://www.zillow.com/homedetails/801-Centre-St-3C-Boston-MA-02130/2097055956_zpid/	Condominium	0.0	http://www.zillow.com/homes/2097055956_zpid/
