pixelBuilding,walkMbta,numCraigslistHouse,walkUniversity,pixelHouse,numCraigslistRoom,pixelSky,pixelLake,numCrime,pixelPerson,walkSchool,pixelCar,walkPark,pixelGrass,pixelSidewalk,pixelRoad,Latitude,Longitude,Zip,Bathrooms,SQFT,Price
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.35855,-71.06478,2108,2,1425,4250
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.356533,-71.070305,2108,3.5,2500,9500
0,9,0,24,0,0,0,0,19,0,35,0,53,0,0,0,42.3554,-71.06151,2108,2.5,2250,8500
0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242,42.356464,-71.06176,2108,2,1325,7200
0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242,42.356464,-71.06176,2108,1,750,3800
0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242,42.356464,-71.06176,2108,2,1125,6000
0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242,42.356464,-71.06176,2108,2,1180,6000
1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583,42.303974,-71.07125,2108,1,650,2250
0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242,42.356464,-71.06176,2108,2,1000,5600
0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066,42.357235,-71.07218,2108,1,449,2795
0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066,42.356564,-71.071106,2108,1,1400,4000
0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066,42.35701,-71.071945,2108,1,,1700
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.357727,-71.065384,2108,1,500,1975
0,8,0,20,2.768,0,49.75,11.29,0,0.298,33,0.298,43,0,0.093,5.07,42.356823,-71.067986,2108,2.5,2000,6000
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.356266,-71.070145,2108,2,,5200
0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066,42.355957,-71.071724,2108,2,1500,7500
0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0,42.252857,-71.11705,2108,2,,3400
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.356266,-71.070145,2108,2,1240,5000
0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242,42.356464,-71.06176,2108,2,,5600
0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242,42.356464,-71.06176,2108,2,,6300
0,11,0,22,0.593,0,67.45,0.9,0,0.028,36,0.028,51,0,0.701,0.988,42.357292,-71.065674,2108,1,995,3300
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.35684,-71.07004,2108,1,413,2600
1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583,42.303974,-71.07125,2108,1,650,2250
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.357727,-71.065384,2108,1,500,1750
0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745,42.35807,-71.069046,2108,1.5,1200,3000
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.356266,-71.070145,2108,2,,5200
0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886,42.358536,-71.06259,2108,1,,2500
0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886,42.35851,-71.062584,2108,1,,2600
0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745,42.358112,-71.06925,2108,2,900,3200
0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0,42.252857,-71.11705,2108,1,600,2600
0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745,42.35807,-71.069046,2108,3.5,,6800
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.358242,-71.06506,2108,1,,1850
0,10,0,19,3.799,3,27.67,47.61,11,11.12,29,11.12,41,0,4.051,1.75,42.35814,-71.0659,2108,1,,2025
0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242,42.356464,-71.06176,2108,1,750,3500
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.356266,-71.070145,2108,2,1240,5200
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.357437,-71.06869,2108,1,,2100
0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066,42.356564,-71.071106,2108,1,1500,4200
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.357727,-71.065384,2108,1,675,2450
0,8,0,20,2.768,0,49.75,11.29,0,0.298,33,0.298,43,0,0.093,5.07,42.357338,-71.067444,2108,1,500,1800
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.357727,-71.065384,2108,1,670,2450
0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0,42.252857,-71.11705,2108,1,575,2950
0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745,42.358063,-71.06974,2108,2,850,3200
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.356266,-71.070145,2108,2,,5200
0,11,1,23,4.369,2,6.687,65.1,21,2.322,29,2.322,46,0,2.552,5.703,42.35803,-71.059425,2108,1,,1650
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.356266,-71.070145,2108,2,,5200
0,12,0,24,9.59,0,24.04,37.65,35,0.02,34,0.02,56,0,0.016,1.242,42.35554,-71.06136,2108,3,3435,12000
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.356773,-71.06997,2108,1,750,3850
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.35678,-71.069984,2108,1,750,3850
0,10,0,19,3.799,3,27.67,47.61,11,11.12,29,11.12,41,0,4.051,1.75,42.35814,-71.0659,2108,1,,2025
0,8,0,20,2.768,0,49.75,11.29,0,0.298,33,0.298,43,0,0.093,5.07,42.35764,-71.06825,2108,3,2200,8900
0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0,42.252857,-71.11705,2108,2,,3550
0,11,0,22,1.331,0,0,89.47,30,0,32,0,46,0,1.04,3.715,42.357246,-71.06,2108,2.5,1998,11750
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.356293,-71.06971,2108,2,,5200
0,8,0,20,2.768,0,49.75,11.29,0,0.298,33,0.298,43,0,0.093,5.07,42.356823,-71.067986,2108,2.5,2000,6500
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.35761,-71.0698,2108,1,,2900
0,9,0,24,0,0,0,0,19,0,35,0,53,0,0,0,42.3554,-71.06151,2108,2.5,,8500
1.626,2,1,0,2.501,0,39.45,15.27,11,10.08,10,10.08,14,0,1.019,6.221,42.312897,-71.097374,2108,1,1000,2300
0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0,42.252857,-71.11705,2108,1,575,2950
0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745,42.358036,-71.069695,2108,2,900,3200
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.356266,-71.070145,2108,2,,5200
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.358242,-71.06506,2108,1,,1800
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.358242,-71.06506,2108,1,,1800
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.356266,-71.070145,2108,2,,5200
0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0,42.252857,-71.11705,2108,2,,3475
0,10,0,19,3.799,3,27.67,47.61,11,11.12,29,11.12,41,0,4.051,1.75,42.35814,-71.0659,2108,1,,2025
0,3,0,5,2.429,0,13.28,23.85,3,0.236,21,0.236,35,0,2.553,7.066,42.357105,-71.071106,2108,1.5,900,3500
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.35761,-71.0698,2108,1,,2900
1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583,42.303974,-71.07125,2108,1,570,2050
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.356773,-71.06997,2108,1,797,3850
0,11,0,22,0.593,0,67.45,0.9,0,0.028,36,0.028,51,0,0.701,0.988,42.3574,-71.064964,2108,2,,3475
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.358242,-71.06506,2108,1,,1800
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.356266,-71.070145,2108,2,1500,5200
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.356266,-71.070145,2108,2,,5200
0,10,0,19,3.799,3,27.67,47.61,11,11.12,29,11.12,41,0,4.051,1.75,42.358154,-71.06831,2108,1.5,,2600
0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886,42.35851,-71.062584,2108,1,,2000
0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886,42.35851,-71.062584,2108,1,,2000
0,11,1,23,4.369,2,6.687,65.1,21,2.322,29,2.322,46,0,2.552,5.703,42.357964,-71.05945,2108,1,,2300
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.358242,-71.06506,2108,1,,1850
0,11,0,22,1.331,0,0,89.47,30,0,32,0,46,0,1.04,3.715,42.357246,-71.06,2108,4,2837,35000
0,6,0,18,2.47,0,27.81,34.12,14,22.56,31,22.56,34,0,1.013,0.217,42.35684,-71.06867,2108,2,1400,3695
0,10,0,19,3.799,3,27.67,47.61,11,11.12,29,11.12,41,0,4.051,1.75,42.35809,-71.0658,2108,1,,2200
0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745,42.35807,-71.069046,2108,1.5,,3000
1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583,42.303974,-71.07125,2108,1,768,2200
1.742,0,0,0,2.387,0,10.64,43.3,5,4.928,11,4.928,10,0,2.738,3.583,42.303974,-71.07125,2108,1,570,2400
0,12,0,24,2.011,0,2.666,78.58,4,0.069,32,0.069,54,0,3.701,2.886,42.35851,-71.062584,2108,1,,2050
0,10,0,20,0.349,0,18.16,60.99,4,6.639,32,6.639,51,0,4.167,2.671,42.35824,-71.06534,2108,1,,2300
0,11,1,23,4.369,2,6.687,65.1,21,2.322,29,2.322,46,0,2.552,5.703,42.35803,-71.06001,2108,1,,2700
0,6,0,14,1.925,0,23.75,50.87,14,2.51,22,2.51,38,0,2.564,1.745,42.3581,-71.069336,2108,2,900,3200
0,0,0,1,0,0,0,0,5,0,7,0,42,0,0,0,42.252857,-71.11705,2108,1,700,2970
