prices,longitude,latitude
60.6428571429,-71.05343,42.33145
37.1027651671,-71.049545,42.312059
30.3214285714,-71.171084,42.277522
41.9841269841,-71.116361,42.292142
40.0595560368,-71.154418,42.287908
63.8599810785,-71.081382,42.339385
58.8062283737,-71.133272,42.351999
33.9,-71.073818,42.287284
34.2142857143,-71.052066,42.295265
18.7499342105,-71.089552,42.287927
14.8658718331,-71.080952,42.296947
34.5,-71.073797,42.287282
110.057344508,-71.079593,42.353794
29.1897810219,-71.158866,42.256671
34.9164926931,-71.1166,42.30924
112.903225806,-71.070299,42.345039
36.6635249764,-71.054061,42.28495
25.4458598726,-71.125871,42.250944
140.845070423,-71.059526,42.355785
34.2142857143,-71.052345,42.295223
51.4705882353,-71.055931,42.331474
28.1794871795,-71.123093,42.291848
33.6395450569,-71.044724,42.299416
64.5882352941,-71.13047,42.34912
46.7248908297,-71.115613,42.307212
25.1182033097,-71.165045,42.280911
147.654320988,-71.101933,42.343872
35.1764705882,-71.036964,42.375465
34.6857142857,-71.036964,42.375465
95.6,-71.048806,42.338717
78.4966698382,-71.059339,42.352627
97.3509933775,-71.048806,42.338717
77.3333333333,-71.040138,42.375031
44.3888888889,-71.049526,42.288834
32.3470588235,-71.06837,42.322406
59.5358224016,-71.03569,42.374401
17.3657230298,-71.092124,42.319999
98.9108910891,-71.076304,42.352174
94.315245478,-71.048806,42.338717
32.3470588235,-71.068565,42.322303
62.1541501976,-71.039063,42.331554
127.701375246,-71.062724,42.353277
156.650417827,-71.059969,42.357031
86.1396303901,-71.050708,42.35792
17.2932330827,-71.12046,42.286727
26.4917859036,-71.139434,42.289455
51.9480519481,-71.030238,42.380672
26.4917859036,-71.139434,42.289455
25.6857142857,-71.080835,42.314193
143.760782059,-71.050719,42.356587
38.9233954451,-71.128726,42.284797
13.1673626727,-71.065326,42.287206
59.6319796954,-71.06754,42.36595
59.6862210095,-71.06754,42.36595
59.5263870095,-71.068189,42.365455
53.865652725,-71.050202,42.337494
58.9519650655,-71.06754,42.36595
59.8634453782,-71.06754,42.36595
53.5,-71.05343,42.33145
44.8079658606,-71.155037,42.285332
39.4975948691,-71.0527,42.3158
127.701375246,-71.062724,42.353277
32.3470588235,-71.06858,42.322223
69.4352159468,-71.088747,42.344498
34.2996590909,-71.05009,42.34055
52.0895522388,-71.144279,42.342769
55.184,-71.152685,42.33817
76.7605633803,-71.060417,42.374821
57.7894736842,-71.069367,42.383631
77.7258566978,-71.051129,42.364924
50.7154213037,-71.094161,42.32574
114.120667522,-71.077645,42.353192
81.25,-71.069972,42.356771
36.5853658537,-71.124839,42.279941
30.995,-71.119067,42.287941
78.4220532319,-71.0532,42.361411
14.0886203424,-71.088506,42.283764
9.44111146195,-71.070424,42.290796
42.6801801802,-71.037811,42.372562
43.8242280285,-71.037811,42.372562
99.7295469912,-71.078326,42.340693
21.9292748433,-71.124281,42.273971
49.5860165593,-71.03589,42.33465
62.4595469256,-71.040939,42.336696
112.285336856,-71.084709,42.348758
62.5,-71.048833,42.332917
108.787878788,-71.07758,42.344754
96.1363636364,-71.075926,42.33895
39.6293027361,-71.05397,42.294403
36.354679803,-71.06329,42.30649
62.4305555556,-71.128596,42.303465
