pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,pixelFence,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky,longitude,latitude,bathrooms,last_sold_price,zestimate_amount,prices,property_size,zip,zestimate_valuation_range_high,long,tax_year,zestimate_value_change,status,zestimate_percentile,bedrooms,zestimate_last_updated,zillow_id,address,lat,last_sold_date,tax_value,zillow,year_built,zestimate_valuationRange_low,graph_data_link,home_size,home_detail_link,home_type,property,map_this_home_link
0,0.017,41.95,7.542,0,0.92,1.177,47174046,0,0,0,0,0,0,0,3,0,8,1,0,1.177,0.036,0.229,11,0,4.03,0,0.05,0,3.597,0.125,0.106,0,0,0,0,0,10.78,-71.05343,42.33145,2,,766387,849000 ,,2127,804706,-71.054051,,,Condo For Sale,0,4,11/12/2016,2096497652,"321 Dorchester St # 1, Boston, MA",42.331281,,,0,,728068,,1400,http://www.zillow.com/homedetails/321-Dorchester-St-1-Boston-MA-02127/2096497652_zpid/,Condominium,0,http://www.zillow.com/homes/2096497652_zpid/
0,0.597,40.6,1.57,0,0.025,9.659,12937000,0,0,0,0,0,0,3.141,0,0,9,2,0,9.659,8.465,0,6,2,1.413,0,0,0.099,1.167,0,0.193,0,0,0,0,0,19.53,-71.049545,42.312059,2,197000,769717,899000 ,6534,2125,877477,-71.049533,2015,-25499,House For Sale,0,5,11/12/2016,59113320,"54 Grampian Way, Dorchester, MA",42.312072,12/11/1998,499300,0,1885,692745,http://www.zillow.com/homedetails/54-Grampian-Way-Dorchester-MA-02125/59113320_zpid/#charts-and-data,2423,http://www.zillow.com/homedetails/54-Grampian-Way-Dorchester-MA-02125/59113320_zpid/,SingleFamily,0,http://www.zillow.com/homes/59113320_zpid/
0,0.127,12.48,3.14,0,0.427,2.555,4294268,0,0,0.004,0,0,0,3.247,0,0,5,0,0,2.555,4.174,0,8,0,0.974,0,0,0.853,1.864,0,0.363,0,0,0,0,0,46.53,-71.171084,42.277522,3,,858867,849000 ,6969,2132,1039229,-71.171084,,,House For Sale,0,4,11/12/2016,2096677074,"129 Gardner St, Boston, MA",42.277522,,,0,2016,695682,,2800,http://www.zillow.com/homedetails/129-Gardner-St-Boston-MA-02132/2096677074_zpid/,SingleFamily,0,http://www.zillow.com/homes/2096677074_zpid/
0,0,0,0,0,0,0,15601537,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.116361,42.292142,2,,595133,529000 ,9999,2130,761770,-71.1162116,,,Condo For Sale,0,3,11/12/2016,2096675064,"7-9 Herbertson # 2, Jamaica Plain, MA",42.2920089,,,0,1925,458252,,1260,http://www.zillow.com/homedetails/7-9-Herbertson-2-Jamaica-Plain-MA-02130/2096675064_zpid/,Condominium,0,http://www.zillow.com/homes/2096675064_zpid/
0,0.055,13.33,2.205,0,0.049,8.027,17314700,0,0,0.21,0,0,0.133,0.167,0,0,3,0,0,8.027,4.158,0,12,0,1.942,0,0.006,4.418,1.698,0,0.219,0,0,0,0,0,57.23,-71.154418,42.287908,2,,715295,739900 ,4356,2132,765366,-71.1544114,2014,1927,House For Sale,0,3,11/12/2016,59155302,"31 Maple St, Boston, MA",42.287886,,448800,0,1900,665224,http://www.zillow.com/homedetails/31-Maple-St-Boston-MA-02132/59155302_zpid/#charts-and-data,1847,http://www.zillow.com/homedetails/31-Maple-St-Boston-MA-02132/59155302_zpid/,SingleFamily,0,http://www.zillow.com/homes/59155302_zpid/
0,0.024,48.58,10.96,0,0.001,0.979,46937627,0,0,0,0,0,0,0,6,0,31,3,212.9,0.979,0.58,0.888,17,81,5.979,0,0,0,4.245,0,0.325,0,0,0,0,0,12.06,-71.081382,42.339385,1,475000,782221,675000 ,1057,2118,821332,-71.0814012,2014,-38684,Condo For Sale,0,2,11/12/2016,87796106,"255 Northampton St UNIT 501, Boston, MA",42.3394238,9/3/2010,509100,0,2006,743110,http://www.zillow.com/homedetails/255-Northampton-St-UNIT-501-Boston-MA-02118/87796106_zpid/#charts-and-data,1057,http://www.zillow.com/homedetails/255-Northampton-St-UNIT-501-Boston-MA-02118/87796106_zpid/,Condominium,0,http://www.zillow.com/homes/87796106_zpid/
0,0,0,0,0,0,0,22309790,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.133272,42.351999,1,197000,343185,339900 ,578,2134,360344,-71.1329925,2014,,Condo For Sale,0,1,11/12/2016,59088144,"43 Parkvale Ave APT 5, Boston, MA",42.3523208,8/31/2006,183100,0,1910,326026,http://www.zillow.com/homedetails/43-Parkvale-Ave-APT-5-Boston-MA-02134/59088144_zpid/#charts-and-data,578,http://www.zillow.com/homedetails/43-Parkvale-Ave-APT-5-Boston-MA-02134/59088144_zpid/,Condominium,0,http://www.zillow.com/homes/59088144_zpid/
0,0.007,29.69,4.235,0,0.227,4.437,9218020,0,0,0,0,0,0.033,0,2,0,16,0,0,4.437,7.556,0,6,4,6.726,0,0,0,1.648,0,0.203,0.011,0,0,0,0,21.34,-71.073818,42.287284,1,,386209,339000 ,,2124,544555,-71.073962,,,Condo For Sale,0,2,11/12/2016,2096823174,"53 Torrey St # 2, Boston, MA",42.287372,,,0,1920,254898,,1000,http://www.zillow.com/homedetails/53-Torrey-St-2-Boston-MA-02124/2096823174_zpid/,Condominium,0,http://www.zillow.com/homes/2096823174_zpid/
0,0,15.24,0.086,0,0.001,0.44,10421920,0,0,0,0,0,0.033,0,0,0,5,0,0,0.44,0.162,0,10,0,0,0,0,0,0.477,0,0.161,0,0,0,0,0,0.704,-71.052066,42.295265,2,,471644,479000 ,,2122,499943,-71.0522682,,,Condo For Sale,0,3,11/12/2016,2096881020,"31 Houghton St # 2, Boston, MA",42.2952453,,,0,1900,438629,,1400,http://www.zillow.com/homedetails/31-Houghton-St-2-Boston-MA-02122/2096881020_zpid/,Condominium,0,http://www.zillow.com/homes/2096881020_zpid/
0,0,51.39,2.535,0,0.044,6.958,12327400,0,0,0,0,0,0.029,0.356,7,0,7,0,524.6,6.958,1.834,0,4,0,3.291,0,0,0.012,0.858,0,0.167,0.174,0,0,0,0,9.759,-71.089552,42.287927,2,192079,280016,284999 ,2613,2124,305217,-71.089551,2014,4024,House For Sale,0,3,11/12/2016,59102139,"10 Arbutus St, Dorchester Center, MA",42.2879239,9/19/2005,156300,0,1991,252014,http://www.zillow.com/homedetails/10-Arbutus-St-Dorchester-Center-MA-02124/59102139_zpid/#charts-and-data,1520,http://www.zillow.com/homedetails/10-Arbutus-St-Dorchester-Center-MA-02124/59102139_zpid/,SingleFamily,0,http://www.zillow.com/homes/59102139_zpid/
